"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","1040067813.98127","1207294403.71186","1432438495.45132","1606191000.85752","1669818678.8499","1802784198.40914","1908830345.97587","2048321812.23325","2216364111.87433","2272818090.43191","2299768906.23206","2461830746.1686","2510870031.79451","2541955653.38816","2735726915.78639","2850135060.01","2823202609.54275","2854554404.37331","3062757840.26596","3051023261.17582","3085420847.19517","3180746293.72871","3239137008.32128","2860878965.88948","2782678075.47099","2876433099.90676","2846495187.52904","3029567030.34403","2981500673.04632","2962907262.56983","3013858155.98809","3226290954.32065","3303627929.55249","3229876351.25335","2383266968.91162","2958411905.44105","3210407008.76028","3347289755.67821","",
"Africa Eastern and Southern","AFE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","152480436579.926","153196649025.378","165251115208.559","174542313561.299","182727532399.152","192155425505.85","201421655345.428","212245929682.373","221061315080.393","232317331582.021","234954490294.902","247828451305.036","254696168867.412","266428619777.093","281017753499.23","284964167617.426","291752586324.443","295022104481.917","299472834713.051","308248956058.301","325092582750.688","338142095450.374","339207759344.658","339341164736.533","350760946551.679","350311844404.763","358249926775.512","372417005516.252","388334518493.407","398805346915.407","399506714934.442","399125331150.141","389745245706.821","387408965682.58","394893828571.086","411805739806.584","434267004530.753","450951443433.988","458854951012.969","471011324578.898","486140997187.189","503182611806.93","522473869009.401","537902201109.957","567779697846.13","602769083967.025","642415850385.639","685116814693.611","715030200782.856","721412927602.431","758983704845.375","789790271072.882","803753522514.389","838457390641.823","872116009582.832","898308853395.359","918035636831.028","942788060956.355","967913721743.298","989211118718.634","960921818200.308","1004774139530.6","1040501584765.5","1060180668102.31","1089513786376.87",
"Afghanistan","AFG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6206547590.07403","5621147630.73068","7228795918.92525","7867263256.28817","7978515641.58304","8874480195.58321","9349921885.77888","10642671963.1135","11060395115.6809","13426272073.2398","15354612541.5059","15420077665.5323","17386490239.3536","18360263162.7578","18860496494.0404","19134221644.7325","19566715174.1633","20084646751.4954","20323499020.3639","21118473702.3471","20621957125.2077","16345202562.5485","15325233810.1388","15672648238.1005","",
"Africa Western and Central","AFW","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","109568116437.943","111616642427.109","115775412206.19","123925064412.167","130573348527.51","135934188403.769","133877519665.224","121872129714.915","123772107814.863","142495350151.822","167264648103.408","184749276572.414","190574768404.163","198106786850.691","217869141656.383","213342267796.88","231251978290.639","241777288644.546","237140167432.055","249001135875.948","253746576502.136","236742121182.857","229112119249.226","214786977842.257","215950818595.645","227600593619.345","230644869914.187","233942519339.675","244890625794.941","249119217298.668","263311240946.079","266121383269.461","272375821431.238","268664306097.151","267903458338.211","272885930471.333","285518163767.992","298089741587.859","308890785933.911","313611222361.074","325661666557.349","342618975763.333","376773983461.917","397864575591.035","430070412409.111","455496652056.574","479889334511.076","506294423043.68","538070142057.243","571029785550.553","611184741248.695","641418010541.067","674390588136.069","715043007154.272","755889542356.826","778022060796.81","779532804501.553","797432183779.807","820594832594.526","847528092552.949","839187420911.066","873006676542.313","907708373678.866","938189102818.499","977368845048.542",
"Angola","AGO","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","23063262074.1287","22048478261.8064","22048478261.8064","22974514663.7731","24352986041.0185","25205340428.2749","25936295739.8901","26995209500.2078","28649716324.6879","28661640755.4345","27672785864.6311","27947122601.4351","26315491127.1309","20004137038.1834","20272065135.4562","23312874911.6258","26470456890.2009","28395991341.425","29728088881.4462","30376604083.8731","31304495193.7788","32621161809.6533","37079068252.7358","38187732393.4926","42369289092.8509","48737393239.5031","54366562157.632","61983317520.5949","68906854084.0594","69499453030.6657","72556300249.883","75075493556.7676","81488522604.1031","85525963563.9192","89650503847.7041","90496420506.5957","88161567931.4379","88031782694.3787","86872966032.8735","86262880684.9456","81399194250.7301","82375341952.5616","84883445838.1604","85798573860.0521","89594220855.2482",
"Albania","ALB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","4872357833.48621","5152305744.73323","5304226467.10994","5362834894.84554","5295713833.27528","5390011641.7466","5693859705.34246","5649001049.87206","5568782994.815","6116559061.23727","5530859374.75169","3982100297.96084","3695902333.01319","4049208851.98817","4385409261.20229","4969648100.72759","5334237832.94103","4709514660.14116","5100876515.377","5725771032.93267","6153077235.62289","6698469429.12028","7008501111.79519","7382282996.75923","7771053341.65332","8169772250.74253","8661509309.89701","9224515436.60112","9861658465.33864","10127011190.7491","10428102872.2706","10685000942.5337","10790155229.5092","10974367815.094","11220218560.8998","11470171826.9575","11918533446.9749","12309839868.7084","12761785703.1071","13025007474.8895","12593390460.142","13722964212.462","14385329993.5341","14951625324.0189","15543966722.0707",
"Andorra","AND","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","859121720.645659","899066287.40921","972337883.975212","1048068101.58249","1106956843.36222","1112958826.12839","1149728615.73441","1182364531.33123","1199662526.43245","1200161072.86812","1226669361.86681","1225044337.85478","1240314039.45152","1262269064.87957","1284796612.64894","1314622305.63835","1357391200.06968","1432687348.14202","1505673115.00348","1578352472.29566","1638036096.1623","1679740553.0064","1695348938.06262","1677861678.41049","1717848180.07992","1765217871.35903","1847295889.29006","2014802622.35064","2079171403.40932","2164398280.15413","2240766094.41807","2422701909.33042","2532846713.48552","2753057566.57311","2977037419.5986","3137731825.90577","3288615581.62834","3339693968.84633","3154034156.98041","2986780565.70671","2927792903.99219","2927556638.32444","2781926981.02275","2683235436.38042","2750436142.73572","2789881258.50362","2893376871.7235","2903390035.7376","2949518094.67896","3008967036.98289","2672445970.88657","2893905656.78942","3170696511.92972","3252613194.16191","3362285466.98151",
"Arab World","ARB","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","257311534766.324","274773719435.461","304396122061.435","327088184653.282","402126828338.016","432244576754.557","492550012020.727","558166187951.322","616893172588.952","616638437148.68","704938092664.711","751565809733.993","773627036243.641","856038839180.965","909944183683.381","917698635395.167","862739843343.881","830259816040.653","840561088583.027","833448097626.719","826775717444.045","828873602251.417","855998348873.886","888682765455.038","958493415604.283","951851019963.204","1014293104800.34","1047329162124.6","1082507206455.37","1112816283111.22","1166455483699.65","1230018689533.02","1288586392330.78","1324354456800.52","1408404232222.38","1437914586158.05","1455470488476.62","1518063788653.03","1655829338819.79","1748077577094.78","1857899260278.26","1943358203740.62","2051575381509.19","2064760123995.51","2164647379970.49","2246605541813.6","2361144493310.92","2423939676764.56","2486713239036.85","2568631130655.53","2659799132035.91","2702484277276.74","2773906753523.31","2821809796874.48","2687572213332.37","2805948372942.77","3002236073160.15","3047400367624.42","3094602134703.2",
"United Arab Emirates","ARE","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","14070592924.3681","19222171572.0387","26734126559.0631","47217855776.3412","54063519992.5488","57430272387.3059","66921691095.8241","81269253405.4141","79977394655.2574","96711523270.9099","119801181764.503","125382930480.431","116958054938.579","111407435357.159","115882617757.21","111717244274.195","95006426309.4287","98219526269.6928","95647247529.5885","107448100944.132","127141173341.334","128234691621.359","132524071345.554","134195452934.192","143449770720.493","153043528513.017","161917610697.963","175179308497.335","175690822166.667","180789745171.171","200410321466.334","203214232286.707","208159362862.998","226478512548.989","248144435949.927","260192198684.156","285788137283.331","294888746643.285","304301112624.578","288346842937.124","292968610443.839","311179896153.556","316857313565.968","332876224084.284","346742821790.424","370275469571.137","390868305597.139","393741456224.296","398914879874.988","403336245504.457","383342656333.374","400036290964.175","430077804445.494","445641058044.125","462404360915.143",
"Argentina","ARG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","150797810295.884","158982878499.524","157628310158.567","149261089202.812","164381681831.918","181755894112.433","180556802912.311","186320169964.576","195305461613.156","214210104570.482","220734180309.322","233223609573.669","237021461356.448","243685921868.226","257171024124.452","257097956426.363","251909073021.038","269376820356.431","257238364643.474","283535234199.299","287841521828.634","272903153784.458","270895516738.16","282677015450.457","287117132733.287","272218554792.861","288969188904.054","296785426416.393","293550663101.649","272541389928.67","265817211205.311","290094591011.844","313120244489.89","338817957426.035","358592053441.545","348389357874.283","367643757074.802","397463514160.866","412766570325.764","398792535409.293","395646066535.875","378202665751.853","336999433710.193","366780211148.674","399898899166.738","435296589745.339","470325565798.353","512690850741.56","533491913656.279","501917060966.235","552738161802.463","585924294024.785","579910247223.428","593858966307.156","578937574935.696","594749285413.212","582376550428.09","598790850843.677","583118120294.002","571450737224.442","514874343768.066","568636554720.066","598603016935.287","588959512629.692","578834679333.011",
